Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery				,region_total,puntos_miles,puntos_IGV
54040,Portugal,"One of the most familiar Vinho Verde brands in Portugal, this wine is medium sweet with a light prickle on the tongue. It is fruity with creamed apple and citrus along with a touch of honey. The wine is crisp and clean, delicious to drink as an apÃ©ritif.",GatÃ£o,85,6.0,Vinho Verde,,,Roger Voss,@vossroger,Borges NV GatÃ£o White (Vinho Verde),Portuguese White,Borges				,,85000,15.299999999999999
59212,Portugal,"A light and fruity style of Vinho Verde, its acidity balanced with pear and white-currant notes. Lemon flavors cut through, adding brightness.",Terras de Felgueiras,85,6.0,Vinho Verde,,,Roger Voss,@vossroger,Vercoope 2011 Terras de Felgueiras White (Vinho Verde),Portuguese White,Vercoope				,,85000,15.299999999999999
62614,Portugal,"A light, crisp strawberry- and melon-flavored wine, with a fresh mint aroma. There is some sweetness, but the acidity and fresh fruits balance that attractively.",Alandra RosÃ©,83,6.0,Portugal,,,Roger Voss,@vossroger,Herdade do EsporÃ£o NV Alandra RosÃ© Red (Portugal),Portuguese Red,Herdade do EsporÃ£o				,,83000,14.94
63792,Portugal,"Soft and fruity, the fruit light, flavored with plum jelly and dried fruits. The wine is soft, somewhat unfocused, the tannins giving some dryness, but leaving a feeling of old-fashioned over-ripe fruits.",Colheita Seleccionada Tinto,83,6.0,Ribatejo,,,Roger Voss,@vossroger,Casaleiro 2006 Colheita Seleccionada Tinto Red (Ribatejo),Portuguese Red,Casaleiro				,,83000,14.94
1547,Portugal,"This simple and fruity wine is made to be drunk young. And with its red fruits, light acidity and crisp texture, it succeeds. Drink the wine with summer barbecues.",Cerejeiras Tinto,85,7.0,Lisboa,,,Roger Voss,@vossroger,Sanguinhal 2016 Cerejeiras Tinto Red (Lisboa),Portuguese Red,Sanguinhal				,,85000,15.299999999999999
1629,Portugal,"Named after the poppy that blooms in May in the Alentejo, this wine is juicy and fruity, with a light touch of tannins. It is all red berries, with an easygoing juicy character, Drink now.",Flor de Maio Mayflower,85,7.0,Alentejano,,,Roger Voss,@vossroger,Magnum Vinhos 2015 Flor de Maio Mayflower Red (Alentejano),Portuguese Red,Magnum Vinhos				,,85000,15.299999999999999
6399,Portugal,"This broad, fruity wine brings out ripe berry flavors in spades. It has generous fruit, soft tannins and a smooth, open texture. Drink now.",Convento da Vila,86,7.0,Alentejano,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2015 Convento da Vila Red (Alentejano),Portuguese Red,Adega Cooperativa de Borba				,,86000,15.479999999999999
7045,Portugal,"Made to be drunk young, this is a fruity red berry flavored wine. It has a bright crisp edge to its fruit as well as light tannins and acidity. It is quite ready to drink.",Vinea Tinto,84,7.0,Alentejano,,,Roger Voss,@vossroger,Cartuxa 2014 Vinea Tinto Red (Alentejano),Portuguese Red,Cartuxa				,,84000,15.12
7316,Portugal,"Somewhat lean, this has a tart, grapefruit character that sits awkwardly with the otherwise fresh, green fruit character. Hard-edged.",Terra de Lobos,82,7.0,Ribatejano,,,Roger Voss,@vossroger,Quinta do Casal Branco 2006 Terra de Lobos White (Ribatejano),Portuguese White,Quinta do Casal Branco				,,82000,14.76
7412,Portugal,"For a wine at this price, this is an impressive performance. It is rich, finely structured, the juicy blackberry flavors filling the mouth. It may lack complexity, but the spice, tobacco and berry flavors are enjoyably drinkable.",Cortello,86,7.0,Estremadura,,,Roger Voss,@vossroger,DÃ£o Sul 2006 Cortello Touriga Nacional (Estremadura),Touriga Nacional,DÃ£o Sul				,,86000,15.479999999999999
7607,Portugal,"Light and simple, with green apple and citrus aromas and flavors. Use it to wash down steamed shellfish at the beach.",Estate Bottled,83,7.0,Bucelas,,,Joe Czerwinski,@JoeCz,Quinta da Romeira 2001 Estate Bottled Arinto (Bucelas),Arinto,Quinta da Romeira				,,83000,14.94
10196,Portugal,"From the SetÃºbal Peninsula, this 100% Periquita is bright and cherry-laden. Soft and velvety in texture, yet with sufficient acidity to accompany food. Be forewarned: There are some nasty bottle stinks that warrant decanting prior to serving. Best Buy.",TradicÃ£o,87,7.0,Palmela,,,Joe Czerwinski,@JoeCz,Quinta da Romeira 1999 TradicÃ£o Red (Palmela),Red Blend,Quinta da Romeira				,,87000,15.66
14553,Portugal,"Orange pink in color, this is a fat wine. It has acidity and red berry fruits although they are surrounded by a plump texture. It is ready to drink.",BridÃ£o Classico,84,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2014 BridÃ£o Classico RosÃ© (Tejo),RosÃ©,Adega Cooperativa do Cartaxo				,,84000,15.12
15985,Portugal,This light wine is gently fruity and with the minimum of tannins. It is juicy with acidity and red-berry fruits. The partial wood aging has smoothed out the ripe blend of most of the major grapes of the Douro. Drink now.,Lello,86,7.0,Douro,,,Roger Voss,@vossroger,Borges 2015 Lello Red (Douro),Portuguese Red,Borges				,,86000,15.479999999999999
17807,Portugal,"A soft wine that has ripe red fruits and gentle tannins. Ready to drink immediately, it is fruity with spice, black cherry and acidity all in balance.",Penina,84,7.0,Tejo,,,Roger Voss,@vossroger,Enoport 2014 Penina Red (Tejo),Portuguese Red,Enoport				,,84000,15.12
18325,Portugal,"A soft, open wine with only light tannins. The fruit is just as light, with strawberry and some spice. For drinking now.",Tinto,83,7.0,Alentejano,,,Roger Voss,@vossroger,Finisterra 2010 Tinto Red (Alentejano),Portuguese Red,Finisterra				,,83000,14.94
19406,Portugal,"This is a gravel- and mineral-textured wine that has a very structured feel, with red berry flavors and firm tannins. Still young, it is a wine that should soften, so wait until 2016.",Morgado da Canita,86,7.0,Alentejano,,,Roger Voss,@vossroger,Herdade dos Machados 2010 Morgado da Canita Red (Alentejano),Portuguese Red,Herdade dos Machados				,,86000,15.479999999999999
19654,Portugal,"On paper, this is an interesting blend of Aragonez and Cabernet	 however, this fruity wine is much simpler than that. There is a spice element that adds some complexity, but the palate concentrates mainly on red fruits and layered acidity. Drink now.",Adegaborba.pt,83,7.0,Alentejo,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2004 Adegaborba.pt Red (Alentejo),Portuguese Red,Adega Cooperativa de Borba			,,83000,14.94
19661,Portugal,"This is a soft, fruity blend of Roupeiro, Rabo de Ovelha and FernÃ£o Pires. It is ripe, full of apple and crisp green fruits, shot through with acidity. Drink now.",Convento da Vila,85,7.0,Alentejano,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2016 Convento da Vila White (Alentejano),Portuguese White,Adega Cooperativa de Borba				,,85000,15.299999999999999
19680,Portugal,"This blend of Touriga Nacional and Cabernet Sauvignon is soft and ripe, with a good sense of structure and fruitiness. Rounded and with acidity as a counterweight, the wine is ready. Drink now.",Babu,85,7.0,Tejo,,,Roger Voss,@vossroger,Fiuza 2016 Babu Red (Tejo),Portuguese Red,Fiuza				,,85000,15.299999999999999
20145,Portugal,"The wine has structured fruit along with red berry flavors. It is otherwise soft, easy, and ready to drink with a crisp finish.",Terras de Paul,83,7.0,Tejo,,,Roger Voss,@vossroger,Quinta Monteiro de Matos 2014 Terras de Paul Red (Tejo),Portuguese Red,Quinta Monteiro de Matos				,,83000,14.94
21692,Portugal,"A lively, juicy wine, with pepper, cinnamon and green herbs. The fruits are red berry and rhubarb, giving a wine that is both fruity and edged with rawness. The acidity is prominent, layering over the dry tannin core.",Cortello,85,7.0,Estremadura,,,Roger Voss,@vossroger,DÃ£o Sul 2006 Cortello Red (Estremadura),Portuguese Red,DÃ£o Sul				,,85000,15.299999999999999
22062,Portugal,"Grown on the shelf above the Tagus (Tejo) River, the wine is soft and ripe. It does have tannins that are well integrated into the spicy red fruits and dry core. The wine is rich, and the alcohol is noticeable in the pepper aftertaste. Drink now.",Coudel Mor ClÃ¡ssico,84,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2013 Coudel Mor ClÃ¡ssico Red (Tejo),Portuguese Red,Adega Cooperativa do Cartaxo				,,84000,15.12
23919,Portugal,"Earthy aromas lead to a wine that has some greenness, with dry tannins and bell pepper flavors. It is not likely to age.",Mina Velha,82,7.0,Lisboa,,,Roger Voss,@vossroger,Quinta de SÃ£o SebastiÃ£o 2011 Mina Velha Red (Lisboa),Portuguese Red,Quinta de SÃ£o SebastiÃ£o				,,82000,14.76
26020,Portugal,"Ripe red fruits dominate this warm, round wine. The light touch of acidity makes the fruit seem forward and bright, yet the core remains rich and smooth. Its soft tannins make this ready to drink now.",Portada Winemaker's Selection,86,7.0,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2009 Portada Winemaker's Selection Red (Lisboa),Portuguese Red,DFJ Vinhos				,,86000,15.479999999999999
26046,Portugal,"This is a soft fruity wine. It has attractive red-fruit flavors, very ripe fruit and light acidity at the end. The wine is ready to drink.",Xairel,84,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2015 Xairel Red (Tejo),Portuguese Red,Adega Cooperativa do Cartaxo				,,84000,15.12
30640,Portugal,"Light mouthfeel to this cinnamon- and herb-flavored wine. The fruit shows through with a black jelly character. Soft, rounded, ready for drinking.",,84,7.0,Alentejano,,,Roger Voss,@vossroger,Finisterra 2009 Red (Alentejano),Portuguese Red,Finisterra				,,84000,15.12
31734,Portugal,"A serious, rich wine, this is full of ripe berry fruits and structured tannins that highlight a dry core. It's a complex wine with a light touch of acidity, a pinch of pepper and a firm aftertaste that suggests medium-term aging. Drink between 2014â€“2020.",Portada Winemaker's Selection Tinto,87,7.0,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2010 Portada Winemaker's Selection Tinto Red (Lisboa),Portuguese Red,DFJ Vinhos				,,87000,15.66
34178,Portugal,"This is a soft wine, its acidity melded into the ripe berry fruit flavors. The texture is soft with just a bite of tannin at the end. With its open fruitiness, the wine is ready to drink.",Babu,85,7.0,Tejo,,,Roger Voss,@vossroger,Fiuza 2015 Babu Red (Tejo),Portuguese Red,Fiuza				,,85000,15.299999999999999
34629,Portugal,"Richly tannic, this concentrated wine has great structure and intense fruitiness and acidity. Generous and full bodied, it retains a dry core that gives shape to the ripe red berry fruits. Hints of wood aging still show, and the wine needs to develop further. Drink from 2017.",Toutalga,91,7.0,Alentejano,,,Roger Voss,@vossroger,Herdade dos Machados 2012 Toutalga Red (Alentejano),Portuguese Red,Herdade dos Machados				,,91000,16.38
35061,Portugal,"Soft, light, flavored with raspberry and red fruit. There is a gentle tannin character to this open, fresh wine.",BonifÃ¡cio,83,7.0,Portuguese Table Wine,,,Roger Voss,@vossroger,Caves Bonifacio 2009 BonifÃ¡cio Red (Portuguese Table Wine),Portuguese Red,Caves Bonifacio				,,83000,14.94
38721,Portugal,"A soft, open wine with only light tannins. The fruit is just as light, with strawberry and some spice. For drinking now.",Tinto,83,7.0,Alentejano,,,Roger Voss,@vossroger,Finisterra 2010 Tinto Red (Alentejano),Portuguese Red,Finisterra				,,83000,14.94
39004,Portugal,"This is a bright, fruity, off-dry wine that is crisp and clean. It has a fine light touch of acidity and white fruits. Aromatic and attractively perfumed, it is ready now.",Xadrez,85,7.0,Vinho Verde,,,Roger Voss,@vossroger,Global Wines 2015 Xadrez White (Vinho Verde),Portuguese White,Global Wines				,,85000,15.299999999999999
40953,Portugal,"A soft, smooth and juicy wine, with attractive red fruit aromas and a warm, fragrant texture. The wine has spice, hints of herbs and a strong layer of acidity. Drink now and until 2018.",BridÃ£o ClÃ¡ssico,86,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2010 BridÃ£o ClÃ¡ssico Red (Tejo),Portuguese Red,Adega Cooperativa do Cartaxo				,,86000,15.479999999999999
43878,Portugal,Wonderful aromas of orange blossoms and cream stay orangey right through to the long finish. Clove and cinnamon nuances provide complexity. Light on the palate and very refreshing	 also very differentâ€”a unique style of wine. Best Buy.,,87,7.0,Terras do Sado,,,Joe Czerwinski,@JoeCz,JoÃ£o Pires 1998 Muscat (Terras do Sado),Muscat,JoÃ£o Pires			,,87000,15.66
44092,Portugal,"Green apple notes give way to grapefruit and melon, but tart lime and green apple flavors power this wine.",,84,7.0,Vinho Verde,,,Joe Czerwinski,@JoeCz,Quinta da Aveleda 2001 Loureiro (Vinho Verde),Loureiro,Quinta da Aveleda				,,84000,15.12
45673,Portugal,"A lively crisp wine, flavored with soft pear, green plum oregano, streaked through with vibrant acidity. It's light, fresh, ready to drink.",Primavera Branco,88,7.0,Bairrada,,,Roger Voss,@vossroger,Caves Primavera 2009 Primavera Branco White (Bairrada),Portuguese White,Caves Primavera				,,88000,15.84
47080,Portugal,This is a young and fruity wine that has the rare Vital grape in the blend. It is crisp although with an attractive creaminess that gives the wine a smooth texture. The acidity and red apples are balanced and make the wine ready to drink.,Cerejeiras Branco,85,7.0,Lisboa,,,Roger Voss,@vossroger,Sanguinhal 2016 Cerejeiras Branco White (Lisboa),Portuguese White,Sanguinhal				,,85000,15.299999999999999
47770,Portugal,"Big, ripe and spicy, with tobacco and herbal flavors alongside the black currant intensity and powerful acidity. It is rich while the austere tannins of the Baga grape are still young. Keep for 2â€“3 years.",Primavera Reserva,87,7.0,Bairrada,,,Roger Voss,@vossroger,Caves Primavera 2008 Primavera Reserva Red (Bairrada),Portuguese Red,Caves Primavera				,,87000,15.66
48609,Portugal,"The wine is soft, fruity and with its light tannins and fresh red berry fruits, it is ready to drink. The aftertaste has a fresh, bright finish. Drink now.",Xairel,84,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2014 Xairel Red (Tejo),Portuguese Red,Adega Cooperativa do Cartaxo				,,84000,15.12
51508,Portugal,"This has soft, ripe fruit, with notes of lime and orange zest fitting easily with the ripe peach and melon flavors. This is warm, rounded and ready to drink.",Portada Winemaker's Selection,85,7.0,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2011 Portada Winemaker's Selection White (Lisboa),Portuguese White,DFJ Vinhos				,,85000,15.299999999999999
52521,Portugal,"A ripe, smooth and richly fruity wine that has a well-integrated structure. Flavors of generous blackberry and red plums are lightly touched by acidity. The wine is ready to drink.",BridÃ£o ClÃ¡ssico,87,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2013 BridÃ£o ClÃ¡ssico Red (Tejo),Portuguese Red,Adega Cooperativa do Cartaxo				,,87000,15.66
52963,Portugal,"This firm wine shows fresh, compacted fruits and vivid acidity. Its tight tannins suggest aging potential, while the black plum juice and blueberry fruit flavors make it attractive now. Layers of smoky toast show through on the finish.",BerÃ§o do Infante,87,7.0,Estremadura,,,Roger Voss,@vossroger,DÃ£o Sul 2006 BerÃ§o do Infante Red (Estremadura),Portuguese Red,DÃ£o Sul				,,87000,15.66
53016,Portugal,"This is a shade off-dry, with ample crispness, a bright, prickly lightness and delicate texture. It's a great apÃ©ritif style, with its soft edge and easygoing freshness, that's ready to drink now.",Vilacetinho,86,7.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2012 Vilacetinho White (Vinho Verde),Portuguese White,Casa de Vilacetinho				,,86000,15.479999999999999
53017,Portugal,"This is a gravel- and mineral-textured wine that has a very structured feel, with red berry flavors and firm tannins. Still young, it is a wine that should soften, so wait until 2016.",Morgado da Canita,86,7.0,Alentejano,,,Roger Voss,@vossroger,Herdade dos Machados 2010 Morgado da Canita Red (Alentejano),Portuguese Red,Herdade dos Machados				,,86000,15.479999999999999
53601,Portugal,A rich and fruity blend with swathes of ripe red berry fruits that are smoothed out by the soft wood and tannin flavors. Acidity freshens the ripeness. Drink now.,Quinta dos Bons Ventos,85,7.0,Lisboa,,,Roger Voss,@vossroger,Casa Santos Lima 2012 Quinta dos Bons Ventos Red (Lisboa),Portuguese Red,Casa Santos Lima				,,85000,15.299999999999999
58802,Portugal,"This appealing wine is rich, smooth and juicy, with a spice and blackberry character. Still young, it has the chance of aging another year, but remains great to drink now.",Vinho AtlÃ¢ntico,86,7.0,Alentejano,,,Roger Voss,@vossroger,Herdade de SÃ£o Miguel 2012 Vinho AtlÃ¢ntico Red (Alentejano),Portuguese Red,Herdade de SÃ£o Miguel				,,86000,15.479999999999999
59499,Portugal,"This sweet sparkling rosÃ© is clean and crisp. It has attractive strawberry fruit, soft texture and a light mousse. Drink now.",Plexus RosÃ©,83,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo NV Plexus RosÃ© CastelÃ£o (Tejo),CastelÃ£o,Adega Cooperativa do Cartaxo				,,83000,14.94
61240,Portugal,"Very young, the wine gives out pure fruitiness, very fresh and lively. Good juiciness offers a riper view of this already very drinkable wine. Drink from 2015.",Native,85,7.0,Tejo,,,Roger Voss,@vossroger,Fiuza 2013 Native Touriga Nacional-Cabernet Sauvignon (Tejo),Touriga Nacional-Cabernet Sauvignon,Fiuza				,,85000,15.299999999999999
61255,Portugal,"Red berry fruits great freshness and brightness to this fruity wine that has tight acidity as a balance. The wine is crisp, young and layers light tannins at the end.",3 Castas,85,7.0,Tejo,,,Roger Voss,@vossroger,Fiuza 2013 3 Castas Red (Tejo),Portuguese Red,Fiuza				,,85000,15.299999999999999
61527,Portugal,The wood aging of this wine has given a lightly oxidized character. It is rich and creamy with toasty acidity as well as yellow fruits. Drink now.,Dalva Reserva Branco,86,7.0,Douro,,,Roger Voss,@vossroger,C. da Silva 2011 Dalva Reserva Branco White (Douro),Portuguese White,C. da Silva				,,86000,15.479999999999999
61734,Portugal,"Named for the Servite convent in the town of Borba, this fresh, crisp and tangy wine is citric, with almond and apple overtones. It's young, fruity and made for immediate consumption.",Convento da Vila Branco,85,7.0,Alentejano,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2015 Convento da Vila Branco White (Alentejano),Portuguese White,Adega Cooperativa de Borba				,,85000,15.299999999999999
61743,Portugal,"This wine balances swathes of ripe berry fruit with hints of tannin. It's fruity, full bodied and delicious to drink now. A great barbecue wine.",Cal Monte da Cal,85,7.0,Alentejano,,,Roger Voss,@vossroger,Global Wines 2014 Cal Monte da Cal Red (Alentejano),Portuguese Red,Global Wines				,,85000,15.299999999999999
61806,Portugal,"This is a dry sparkling wine with tannins, spice and berry fruit, giving it a deep color. Not an apÃ©ritif wine, it's perfect for cutting through rich, oily foods. Drink now.",Plexus Tinto,85,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo NV Plexus Tinto Alicante Bouschet (Tejo),Alicante Bouschet,Adega Cooperativa do Cartaxo				,,85000,15.299999999999999
64597,Portugal,"A medium-dry Vinho Verde, this is light and fresh without being quite crisp enough. Well chilled, though, it makes a lively and fresh apÃ©ritif.",AlianÃ§a,85,7.0,Vinho Verde,,,Roger Voss,@vossroger,Caves AlianÃ§a 2009 AlianÃ§a White (Vinho Verde),Portuguese White,Caves AlianÃ§a				,,85000,15.299999999999999
64641,Portugal,"This is a featherlight red, full of berries and bright acidity, but with a texture that just coats the palate. This is one of those rare reds that works as an apÃ©ritif, fresh, clean and fruity. Screwcap.",Coreto Tinto,84,7.0,Estremadura,,,Roger Voss,@vossroger,DFJ Vinhos 2007 Coreto Tinto Red (Estremadura),Portuguese Red,DFJ Vinhos				,,84000,15.12
65163,Portugal,"This is an attractive, lemon and lime-flavored wine. Riper yellow fruits also show through the crisp acidity and the lightly mineral texture. The wine is ready to drink.",BridÃ£o Classico Branco,85,7.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2015 BridÃ£o Classico Branco White (Tejo),Portuguese White,Adega Cooperativa do Cartaxo				,,85000,15.299999999999999
718,Portugal,"Heading nicely in the crisp and aromatic direction, this is a light and bright wine. It has a citrus flavor that is balanced by richer pear and plum fruits. The wine is ready to drink.",Bote Chardonnay-FernÃ£o Pires-Vital,85,8.0,Lisboa,,,Roger Voss,@vossroger,Casca Wines 2015 Bote Chardonnay-FernÃ£o Pires-Vital White (Lisboa),Portuguese White,Casca Wines				,,85000,15.299999999999999
723,Portugal,"In a medium sweet style, the wine has a light prickle and fine citrus acidity to balance the soft freshness. It is a refreshing wine, totally drinkable immediately.",Santola,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Messias 2015 Santola White (Vinho Verde),Portuguese White,Messias				,,85000,15.299999999999999
1552,Portugal,"This is an open and ready-to-drink wine that has soft tannins and juicy blackberry fruit. With 50% Aragonez in the blend, it is has a smooth character that brings out plenty fruit and not too much structure. Drink now.",CuvÃ©e B,85,8.0,Alentejo,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2016 CuvÃ©e B Red (Alentejo),Portuguese Red,Adega Cooperativa de Borba				,,85000,15.299999999999999
1619,Portugal,"Crisp, bright and fruity, this is a refreshing and ripe wine. With attractive citrus acidity and a bright aftertaste, the wine is ready to drink.",Adega de Borba Branco,85,8.0,Alentejo,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2016 Adega de Borba Branco White (Alentejo),Portuguese White,Adega Cooperativa de Borba				,,85000,15.299999999999999
1630,Portugal,"Young and fruity, this is a bright and wine for immediate drinking. It has hints of tannins, plenty of red fruits and no wood.",Brado,85,8.0,Alentejano,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2016 Brado Red (Alentejano),Portuguese Red,Adega Cooperativa de Borba				,,85000,15.299999999999999
3400,Portugal,"This is a rich, full wine that has red fruits and soft tannins. With balanced acidity, only a hint of tannins, it is ready to drink.",Montaria Tinto,84,8.0,Alentejano,,,Roger Voss,@vossroger,Parras Vinhos 2014 Montaria Tinto Red (Alentejano),Portuguese Red,Parras Vinhos				,,84000,15.12
3413,Portugal,"A blend of Moscatel and Arinto, this is light and thin with only the vaguest hint of citrus fruit acidity. It should be drunk now.",Castelo do Sulco Colheita,83,8.0,Lisboa,,,Roger Voss,@vossroger,Parras Vinhos 2014 Castelo do Sulco Colheita White (Lisboa),Portuguese White,Parras Vinhos				,,83000,14.94
3640,Portugal,Aromas of strawberry sherbet are followed by sweet candy-shop flavors on the palate. Chill it thoroughly before drinking. Screwcap.,Estreia,80,8.0,Vinho Verde,,,Roger Voss,@vossroger,Viniverde 2011 Estreia RosÃ© (Vinho Verde),RosÃ©,Viniverde				,,80000,14.399999999999999
3938,Portugal,"Light red wine, with a stalky black currant character. It is very fruity, showing herbs and soft tannins. Almost an apÃ©ritif red, certainly one for lightly flavored dishes.",Casal Garcia Tinto,83,8.0,Portuguese Table Wine,,,Roger Voss,@vossroger,Aveleda 2010 Casal Garcia Tinto Red (Portuguese Table Wine),Portuguese Red,Aveleda				,,83000,14.94
